"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"115","Christian Yelich",MIL,"OF24","65","186","116.8","19.8","-13"
"116","Agustin Ramirez",MIA,"C6","62","167","117.8","22.9","-5"
"117","Andy Pages",LAD,"OF25","114","199","121.0","5.8","+17"
"118","Cam Schlittler",NYY,"SP35","111","139","122.6","5.0","+12"
"119","Jo Adell",LAA,"OF26","106","205","124.4","6.2","+7"
"120","Ryan Helsley",BAL,"RP9","69","186","124.6","38.2","+2"
"121","Nick Lodolo",CIN,"SP36","88","139","124.6","7.5","+14"
"122","Chase Burns",CIN,"SP,RP1","89","176","124.6","24.7","-5"
"123","Zack Wheeler",PHI,"SP37","103","196","124.8","7.4","+10"
"124","Michael King",SD,"SP38","98","158","126.8","12.0","+14"
"125","Raisel Iglesias",ATL,"RP10","77","291","127.6","30.5","-15"
"126","Robbie Ray",SF,"SP39","91","175","128.0","13.3","+39"
"127","Luis Castillo",SEA,"SP40","94","169","128.0","26.5","+14"
"128","Luke Keaschall",MIN,"2B7","100","202","128.0","8.9","0"
"129","Drake Baldwin",ATL,"C7","83","179","128.2","15.1","-23"
"130","Nathan Eovaldi",TEX,"SP41","102","157","128.6","13.2","+10"
"131","Brandon Nimmo",TEX,"OF27","104","190","129.6","16.5","-10"
"132","Bubba Chandler",PIT,"SP42","80","155","131.0","11.2","+37"
"133","Josh Hader",HOU,"RP11","107","240","131.4","17.1","-38"
"134","Will Smith",LAD,"C8","112","196","131.6","18.5","-31"
"135","Lawrence Butler",ATH,"OF28","118","197","133.4","9.4","-4"
"136","Trevor Rogers",BAL,"SP43","106","222","134.4","3.4","+24"
"137","Ozzie Albies",ATL,"2B8","106","203","134.4","15.0","0"
"138","Ryan Pepiot",TB,"SP44","79","145","135.0","2.2","+5"
"139","Taylor Ward",BAL,"OF29","111","188","137.8","8.6","-15"
"140","Ceddanne Rafaela",BOS,"OF30","105","195","139.0","21.2","+21"
"141","Luis Robert Jr.",NYM,"OF31","108","171","140.2","9.5","-16"
"142","Gavin Williams",CLE,"SP45","117","194","141.2","17.4","+2"
"143","Jakob Marsee",MIA,"OF32","107","185","141.6","18.0","-14"
"144","Matt Chapman",SF,"3B7","119","200","142.6","26.1","+4"
"145","Ranger Suarez",BOS,"SP46","92","152","144.0","5.4","+23"
"146","Pete Fairbanks",MIA,"RP12","97","205","145.8","31.1","+1"
"147","Shohei Ohtani (Pitcher)",LAD,"SP47","147","147","147.0","0.0","-57"
"148","Jeff Hoffman",TOR,"RP13","84","224","147.6","33.5","-16"
"149","MacKenzie Gore",TEX,"SP48","96","175","148.8","5.5","+4"
"150","Ian Happ",CHC,"OF33","138","208","148.8","9.9","+7"
"151","Steven Kwan",CLE,"OF34","122","206","149.8","15.5","+8"
"152","Dansby Swanson",CHC,"SS15","143","198","150.8","4.0","+2"
"153","Jacob Wilson",ATH,"SS16","134","214","153.0","7.1","+9"
"154","Drew Rasmussen",TB,"SP49","105","181","153.4","14.8","+12"
"155","Carlos Estevez",KC,"RP14","104","301","154.4","28.0","-41"
"156","Tanner Bibee",CLE,"SP50","100","172","154.6","11.2","+23"
"157","Daniel Palencia",CHC,"RP15","83","228","155.8","39.0","+1"
"158","Shota Imanaga",CHC,"SP51","123","188","160.6","8.3","+19"
"159","Edward Cabrera",CHC,"SP52","131","193","162.8","17.6","+40"
"160","Kenley Jansen",DET,"RP16","106","211","163.6","22.2","-8"
"161","Carlos Rodon",NYY,"SP53","147","182","166.8","9.0","+27"
"162","Jack Flaherty",DET,"SP54","99","236","167.4","7.1","+34"
"163","Emilio Pagan",CIN,"RP17","86","272","168.2","18.0","-21"
"164","Ivan Herrera",STL,"C9","112","221","169.2","23.4","-1"
"165","Andrew Abbott",CIN,"SP55","126","251","169.4","19.9","+24"
"166","Willson Contreras",BOS,"1B14","100","213","170.2","23.2","+4"
"167","Spencer Torkelson",DET,"1B15","156","220","170.6","8.8","+16"
"168","Tatsuya Imai",HOU,"SP56","115","205","171.6","27.4","+13"
"169","Cade Horton",CHC,"SP57","129","261","172.4","10.2","+23"
"170","Yainer Diaz",HOU,"C10","95","210","173.2","11.8","-31"
"171","Bryan Reynolds",PIT,"OF35","147","212","174.6","10.7","+14"
"172","Brenton Doyle",COL,"OF36","147","251","175.2","18.4","+12"
"173","Noelvi Marte",CIN,"3B8","140","237","175.8","21.0","-28"
"174","Dylan Crews",WSH,"OF37","127","217","176.0","16.1","+19"
"175","Brandon Lowe",PIT,"2B9","143","233","177.0","10.3","-19"
"176","Jurickson Profar",ATL,"OF38","120","216","177.8","17.7","-4"
"177","Shane McClanahan",TB,"SP58","120","248","178.6","18.6","+53"
"178","Xavier Edwards",MIA,"SS17","146","209","181.4","21.0","-5"
"179","Adley Rutschman",BAL,"C11","159","223","181.6","13.6","-29"
"180","Shane Baz",BAL,"SP59","98","199","182.2","11.2","+34"
"181","Christian Walker",HOU,"1B16","148","230","183.6","26.2","+5"
"182","Zac Gallen",ARI,"SP60","113","249","184.8","23.3","+31"
"183","Royce Lewis",MIN,"3B9","153","265","185.6","14.0","+18"
"184","Jonathan Aranda",TB,"1B17","169","229","186.6","10.7","+3"
"185","Aaron Nola",PHI,"SP61","119","259","189.6","7.5","+18"
"186","Isaac Paredes",HOU,"3B10","162","255","189.8","26.5","-15"
"187","Marcus Semien",NYM,"2B10","139","228","190.0","18.7","-9"
"188","Mike Trout",LAA,"OF39","146","207","190.8","14.3","-13"
"189","Ryan Walker",SF,"RP18","87","280","191.0","44.0","+17"
"190","Alec Burleson",STL,"OF40","108","278","191.0","29.5","-16"
"191","Trevor Megill",MIL,"RP19","149","245","192.0","18.6","-55"
"192","Chandler Simpson",TB,"OF41","160","243","193.8","21.1","-25"
"193","Shane Bieber",TOR,"SP62","113","292","195.0","62.5","+5"
"194","Matthew Boyd",CHC,"SP63","125","273","195.8","20.0","+3"
"195","Kris Bubic",KC,"SP64","111","246","196.4","32.4","-1"
"196","Dennis Santana",PIT,"RP20","151","313","198.0","24.9","-5"
"197","Ezequiel Tovar",COL,"SS18","183","279","202.4","15.7","+36"
"198","Daylen Lile",WSH,"OF42","178","227","202.8","10.3","+23"
"199","Colson Montgomery",CWS,"SS19","131","279","203.0","24.8","-19"
"200","Merrill Kelly",ARI,"SP65","121","264","204.6","21.5","+17"
"201","Heliot Ramos",SF,"OF43","154","283","205.0","16.9","+19"
"202","Alejandro Kirk",TOR,"C12","163","237","205.6","15.2","-26"
"203","Jordan Westburg",BAL,"2B11","154","287","205.8","44.6","-76"
"204","Matt McLain",CIN,"2B12","190","252","211.6","6.0","+23"
"205","Bryson Stott",PHI,"2B13","158","282","212.4","25.7","-23"
"206","Jorge Polanco",NYM,"2B14","159","263","213.4","28.6","+4"
"207","Gleyber Torres",DET,"2B15","143","266","213.8","31.2","+4"
"208","Joe Musgrove",SD,"SP66","114","256","215.2","20.8","+26"
"209","Casey Mize",DET,"SP67","140","241","215.2","22.3","+74"
"210","Connelly Early",BOS,"SP68","133","233","215.6","11.3","+50"
"211","Addison Barger",TOR,"3B11","173","238","215.8","12.5","-6"
"212","Wilyer Abreu",BOS,"OF44","199","281","215.8","13.5","+19"
"213","Kerry Carpenter",DET,"OF45","179","236","216.6","5.1","+24"
"214","Daulton Varsho",TOR,"OF46","178","241","216.8","9.0","-6"
"215","David Peterson",NYM,"SP69","189","268","218.6","31.3","+89"
"216","Jackson Holliday",BAL,"2B16","151","312","218.8","31.3","-65"
"217","Abner Uribe",MIL,"RP21","142","288","219.6","25.9","-15"
"218","Munetaka Murakami",CWS,"1B18","174","246","220.0","16.4","-23"
"219","Sal Stewart",CIN,"1B19","185","256","221.6","11.6","+4"
"220","Sal Frelick",MIL,"OF47","204","258","223.2","10.9","-8"
"221","Gabriel Moreno",ARI,"C13","164","253","225.8","9.2","-12"
"222","Luis Garcia",WSH,"2B17","174","255","226.6","15.0","+31"
"223","Gerrit Cole",NYY,"SP70","116","261","227.8","33.1","-23"
"224","Masyn Winn",STL,"SS20","149","296","228.8","47.1","+51"
"225","Kyle Manzardo",CLE,"1B20","175","252","228.8","21.3","+21"
"226","Jac Caglianone",KC,"1B21","205","260","229.2","12.9","-4"
"227","Seranthony Dominguez",CWS,"RP22","138","301","229.4","26.2","+41"
"228","Jose Soriano",LAA,"SP71","143","267","229.8","31.7","+111"
"229","Samuel Basallo",BAL,"C14","169","281","230.0","23.9","+13"
"230","Mitch Keller",PIT,"SP72","152","243","209.5","35.6","+87"
"231","Roki Sasaki",LAD,"SP73","187","293","231.8","32.7","-6"
"232","Xander Bogaerts",SD,"SS21","181","280","232.8","29.1","+9"
"233","Ramon Laureano",SD,"OF48","171","266","235.8","20.2","+5"
"234","Jordan Beck",COL,"OF49","203","260","236.4","13.5","+54"
"235","Noah Cameron",KC,"SP74","222","257","236.8","13.0","+9"
"236","Kazuma Okamoto",TOR,"3B12","150","296","237.0","34.4","-46"
"237","Andrew Vaughn",MIL,"1B22","178","261","237.0","15.9","+48"
"238","Francisco Alvarez",NYM,"C15","161","271","237.2","23.1","-19"
"239","Kyle Teel",CWS,"C16","193","287","239.0","11.9","-24"
"240","Bryce Miller",SEA,"SP75","193","294","239.2","30.9","+3"
"241","Bryan Abreu",HOU,"RP23","112","316","239.4","24.8","+23"
"242","Joey Cantillo",CLE,"SP,RP2","128","355","248.2","76.5","+53"
"243","TJ Friedl",CIN,"OF50","198","253","240.4","7.5","+36"
"244","Alec Bohm",PHI,"3B13","190","297","241.4","31.8","+4"
"245","Jasson Dominguez",NYY,"OF51","201","266","224.3","24.8","0"
"246","Zebby Matthews",MIN,"SP76","134","334","246.6","64.7","+104"
"247","Ryne Nelson",ARI,"SP,RP3","153","274","242.4","20.0","+20"
"248","Matt Shaw",CHC,"3B14","180","410","263.2","76.4","+14"
"249","Kodai Senga",NYM,"SP77","139","296","244.0","56.6","+17"
"250","Max Muncy",LAD,"3B15","212","268","244.2","18.6","-43"
"251","Robert Suarez",ATL,"RP24","219","293","244.8","26.9","-47"
"252","Otto Lopez",MIA,"2B18","215","276","245.4","13.5","-5"
"253","Adolis Garcia",PHI,"OF52","179","261","246.4","8.2","-21"
"254","Mickey Moniak",COL,"OF53","215","264","247.4","17.0","+43"
"255","Luis Arraez",SF,"2B19","179","284","248.6","27.9","-6"
"256","Griffin Jax",TB,"RP25","93","296","249.0","59.0","-30"
"257","Riley O'Brien",STL,"RP26","155","294","233.5","50.2","+70"
"258","Cody Ponce",TOR,"SP,RP4","130","324","236.8","69.3","+36"
"259","Shane Smith",CWS,"SP78","214","276","250.2","22.5","+12"
"260","Jake Burger",TEX,"1B23","220","274","250.8","13.8","+22"
"261","Carlos Correa",HOU,"SS22","234","277","253.0","16.6","-7"
"262","Konnor Griffin",PIT,"SS23","182","308","253.4","40.4","-44"
"263","Jack Leiter",TEX,"SP79","110","276","253.6","16.8","-8"
"264","Trent Grisham",NYY,"OF54","224","277","254.0","14.7","-35"
"265","Brett Baty",NYM,"3B16","218","298","256.2","25.5","+41"
"266","Giancarlo Stanton",NYY,"RF1","205","308","256.4","38.2","-50"
"267","Brendan Donovan",SEA,"2B20","192","290","257.4","20.4","-28"
"268","Brady Singer",CIN,"SP80","154","285","243.8","52.3","+23"
"269","Yusei Kikuchi",LAA,"SP81","198","236","221.7","16.9","+46"
"270","Bailey Ober",MIN,"SP82","145","358","239.0","88.7","+8"
"271","Mark Vientos",NYM,"3B17","199","289","260.0","31.6","-10"
"272","Mike Burrows",HOU,"SP,RP5","141","305","247.5","65.4","+65"
"273","Will Warren",NYY,"SP83","150","325","263.2","59.7","+46"
"274","JJ Wetherholt",STL,"SS24","197","285","261.4","18.8","-17"
"275","Spencer Steer",CIN,"1B24","205","335","266.8","35.5","-40"
"276","Caleb Durbin",BOS,"2B21","228","298","262.4","13.2","-24"
"277","Braxton Ashcraft",PIT,"SP,RP6","132","311","229.3","73.9","+46"
"278","Colton Cowser",BAL,"OF55","220","282","263.2","13.8","-27"
"279","Ian Seymour",TB,"SP,RP7","127","357","272.2","77.7","+14"
"280","Ryan Weathers",NYY,"SP84","136","309","263.4","41.3","+18"
"281","Grayson Rodriguez",LAA,"SP85","192","317","264.2","40.7","0"
"282","Clay Holmes",NYM,"SP86","225","285","251.3","23.6","+8"
"283","Marcell Ozuna",PIT,"DH3","252","288","265.2","3.9","-20"
"284","Josh Lowe",LAA,"OF56","229","292","265.6","19.8","+36"
"285","Miguel Vargas",CWS,"3B18","239","287","266.0","20.6","+17"
"286","Nolan Schanuel",LAA,"1B25","233","296","268.2","18.8","+40"
"287","Robert Garcia",TEX,"RP27","137","295","240.3","73.1","-14"
"288","Quinn Priester",MIL,"SP,RP8","240","331","273.0","32.0","-38"
"289","Cade Cavalli",WSH,"SP87","148","318","260.0","66.7","+151"
"290","Justin Crawford",PHI,"OF57","198","330","246.3","59.4","+11"
"291","Jung Hoo Lee",SF,"OF58","242","297","270.2","22.0","-33"
"292","J.T. Realmuto",PHI,"C17","208","299","271.2","23.6","-64"
"293","Kevin McGonigle",DET,"SS25","216","296","271.8","17.6","+14"
"294","Dillon Dingler",DET,"C18","259","374","286.0","44.3","-35"
"295","Carter Jensen",KC,"C19","195","309","274.8","23.1","-55"
"296","Colt Keith",DET,"2B22","229","267","250.3","15.9","-16"
"297","Willi Castro",COL,"2B23","220","306","266.5","32.6","+19"
"298","Anthony Santander",TOR,"OF59","216","225","220.5","4.5","-6"
"299","Parker Messick",CLE,"SP88","135","307","276.6","29.3","+15"
"300","Chase DeLauter",CLE,"OF60","232","294","268.5","23.5","+11"
"301","Sean Manaea",NYM,"SP,RP9","259","303","278.2","17.2","-5"
"302","Chad Patrick",MIL,"SP89","144","352","248.0","104.0","+60"
"303","Brandon Pfaadt",ARI,"SP90","214","312","256.7","41.0","+51"
"304","Luis Gil",NYY,"SP91","146","397","271.5","125.5","-5"
"305","Ryan O'Hearn",PIT,"1B26","252","281","271.5","11.4","-33"
"306","Cedric Mullins II",TB,"OF61","258","318","281.0","20.2","+23"
"307","Chris Bassitt",BAL,"SP92","231","274","258.7","19.6","-7"
"308","Michael Wacha",KC,"SP93","236","277","258.7","17.0","+24"
"309","Jose Caballero",NYY,"2B24","227","364","290.8","41.0","-85"
"310","Braxton Garrett",MIA,"SP94","156","156","156.0","0.0","+205"
"311","Bryce Eldridge",SF,"1B27","201","306","274.0","42.4","+35"
"312","Nick Castellanos",SD,"OF62","256","275","265.0","7.8","+19"
"313","Andres Gimenez",TOR,"2B25","273","287","277.0","5.8","-10"
"314","Brayan Bello",BOS,"SP95","250","288","269.3","15.5","-25"
"315","Logan Henderson",MIL,"SP96","248","300","271.0","21.6","-31"
"316","Jeff McNeil",ATH,"2B26","263","290","273.7","11.7","+14"
"317","Grant Taylor",CWS,"RP28","216","323","277.3","45.1","+96"
"318","Kirby Yates",LAA,"RP29","242","377","295.7","58.5","+10"
"319","Austin Wells",NYY,"C20","255","257","256.0","1.0","-83"
"320","Cam Smith",HOU,"RF2","219","314","278.7","42.4","+54"
"321","Zach Eflin",BAL,"SP97","260","297","278.7","15.1","+50"
"322","Hurston Waldrep",ATL,"SP98","251","277","264.0","13.0","-4"
"323","Jonah Tong",NYM,"SP99","262","326","284.7","29.3","+32"
"324","Owen Caissie",MIA,"OF63","226","332","279.0","53.0","+82"
"325","Harrison Bader",SF,"OF64","262","392","312.0","57.1","+38"
"326","Luis Severino",ATH,"SP100","265","279","272.0","7.0","+95"
"327","Matt Wallner",MIN,"OF65","239","380","310.7","57.6","+15"
"328","Josh Jung",TEX,"3B19","245","245","245.0","0.0","-7"
"329","Edwin Uceta",TB,"RP30","284","304","296.3","7.5","-53"
"330","Josh Bell",MIN,"1B28","287","319","297.8","12.5","+79"
"331","Will Vest",DET,"RP31","275","333","297.7","25.3","-61"
"332","Carson Benge",NYM,"OF66","254","365","309.5","55.5","+15"
"333","Tommy Edman",LAD,"2B27","273","295","284.0","11.0","-46"
"334","Ryan Jeffers",MIN,"C21","280","288","284.0","4.0","-60"
"335","Jameson Taillon",CHC,"SP101","289","328","302.3","15.4","-30"
"336","Reid Detmers",LAA,"RP32","278","291","284.5","6.5","+9"
"337","J.P. Crawford",SEA,"SS26","284","305","294.0","8.6","+7"
"338","Gavin Sheets",SD,"1B29","257","401","329.0","72.0","+82"
"339","Chase Meidroth",CWS,"3B20","272","319","296.7","19.3","+56"
"340","Anthony Volpe",NYY,"SS27","286","304","294.7","7.4","-2"
"341","Jordan Lawlar",ARI,"3B21","263","263","263.0","0.0","+28"
"342","Lenyn Sosa",CWS,"2B28","285","403","326.3","54.3","-8"
"343","Reynaldo Lopez",ATL,"SP102","288","322","299.7","15.8","+15"
"344","Austin Hays",CWS,"OF67","265","265","265.0","0.0","+68"
"345","Andrew Painter",PHI,"SP103","266","384","325.0","59.0","-20"
"346","Robert Stephenson",LAA,"RP33","270","359","314.5","44.5","+68"
"347","Brandon Marsh",PHI,"OF68","283","354","312.3","30.3","+28"
"348","Kevin Ginkel",ARI,"RP34","271","342","306.5","35.5","+45"
"349","Luis Morales",ATH,"SP104","272","378","325.0","53.0","+103"
"350","Jose A. Ferrer",SEA,"RP35","274","274","274.0","0.0","+127"
"351","Logan O'Hoppe",LAA,"C22","280","310","295.0","15.0","-95"
"352","Rhys Hoskins",CLE,"1B30","280","280","280.0","0.0","+237"
"353","Spencer Horwitz",PIT,"1B31","295","298","296.5","1.5","+50"
"354","Pavin Smith",ARI,"1B32","282","282","282.0","0.0","+173"
"355","Simeon Woods Richardson",MIN,"SP105","283","405","344.0","61.0","+89"
"356","Jake Cronenworth",SD,"2B29","283","339","311.0","28.0","-13"
"357","Robby Snelling",MIA,"SP106","285","351","318.0","33.0","+9"
"358","Jesus Sanchez",TOR,"OF69","286","394","340.0","54.0","+25"
"359","Taylor Rogers",MIN,"RP36","286","337","311.5","25.5","+80"
"360","Kyle Finnegan",DET,"RP37","286","286","286.0","0.0","-9"
"361","Tyler O'Neill",BAL,"OF70","287","287","287.0","0.0","+23"
"362","Evan Carter",TEX,"OF71","288","349","317.0","25.0","-76"
"363","Seth Lugo",KC,"SP107","289","341","315.0","26.0","-51"
"364","Tyler Stephenson",CIN,"C23","290","346","318.0","28.0","-99"
"365","Grant Holmes",ATL,"SP108","291","291","291.0","0.0","+71"
"366","Nolan Arenado",ARI,"3B22","293","317","305.0","12.0","-89"
"367","Victor Vodnik",COL,"RP38","295","381","338.0","43.0","+59"
"368","Spencer Schwellenbach",ATL,"SP109","302","414","358.0","56.0","-213"
"369","Kristian Campbell",BOS,"2B30","307","307","307.0","0.0","+88"
"370","Brooks Lee",MIN,"SS28","310","363","336.5","26.5","-48"
"371","Ernie Clement",TOR,"3B23","315","329","322.0","7.0","-102"
"372","Tyler Mahle",SF,"SP110","315","315","315.0","0.0","-8"
"373","Jose Berrios",TOR,"SP111","316","316","316.0","0.0","+37"
"374","Jonathan India",KC,"2B31","320","320","320.0","0.0","-39"
"375","Jeffrey Springs",ATH,"SP112","321","321","321.0","0.0","+1"
"376","Nolan Gorman",STL,"2B32","327","327","327.0","0.0","+21"
"377","Clayton Beeter",WSH,"RP39","336","336","336.0","0.0","+30"
"378","Nasim Nunez",WSH,"SS29","338","338","338.0","0.0","+94"
"379","Paul Sewald",ARI,"RP40","340","340","340.0","0.0","+312"
"380","Jake Mangum",PIT,"OF72","343","343","343.0","0.0","+2"
