"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"92","Eury Perez",MIA,"SP25","69","160","100.4","15.9","+14"
"93","Nico Hoerner",CHC,"2B5","94","119","100.5","4.3","+3"
"94","Trevor Story",BOS,"SS13","70","144","100.6","9.9","+16"
"95","Christian Yelich",MIL,"OF22","56","134","101.9","20.4","+9"
"96","Alex Bregman",CHC,"3B6","73","139","102.2","13.8","-3"
"97","David Bednar",NYY,"RP6","48","159","102.3","22.5","-15"
"98","Aroldis Chapman",BOS,"RP7","58","144","102.7","22.1","-18"
"99","Michael Busch",CHC,"1B12","93","111","103.9","4.5","+14"
"100","Kyle Stowers",MIA,"OF23","85","135","104.7","11.2","+16"
"101","Jose Altuve",HOU,"2B6","66","152","105.0","12.1","-1"
"102","Tyler Glasnow",LAD,"SP26","84","158","106.4","15.2","+10"
"103","Kevin Gausman",TOR,"SP27","74","128","107.5","15.1","+4"
"104","Salvador Perez",KC,"C5","77","122","107.7","6.6","-3"
"105","Devin Williams",NYM,"RP8","49","164","108.9","30.4","-11"
"106","Brandon Woodruff",MIL,"SP28","89","153","109.0","5.4","+19"
"107","Yandy Diaz",TB,"1B13","85","135","109.5","11.6","+34"
"108","Agustin Ramirez",MIA,"C6","67","157","109.9","17.8","+6"
"109","Sonny Gray",BOS,"SP29","92","174","110.6","20.3","-4"
"110","Spencer Strider",ATL,"SP30","64","187","111.1","28.4","-12"
"111","Willy Adames",SF,"SS14","80","170","111.5","13.5","+8"
"112","Teoscar Hernandez",LAD,"OF24","91","152","111.7","13.1","+10"
"113","Josh Hader",HOU,"RP9","70","154","115.4","27.9","-35"
"114","Jordan Westburg",BAL,"2B7","87","139","115.4","11.7","+9"
"115","Pablo Lopez",MIN,"SP31","74","152","117.5","24.4","+2"
"116","Drake Baldwin",ATL,"C7","83","158","118.4","15.0","-7"
"117","Jo Adell",LAA,"OF25","111","136","120.8","3.8","+12"
"118","Will Smith",LAD,"C8","97","169","121.0","15.2","-7"
"119","Luke Keaschall",MIN,"2B8","88","146","121.5","9.8","+8"
"120","Shohei Ohtani (Pitcher)",LAD,"SP32","92","155","123.5","0.0","-25"
"121","Jacob Misiorowski",MIL,"SP33","93","233","124.4","10.9","+9"
"122","Trey Yesavage",TOR,"SP34","104","234","124.6","13.1","+10"
"123","Chase Burns",CIN,"SP,RP1","82","172","125.9","22.1","-2"
"124","Andy Pages",LAD,"OF26","106","151","128.0","10.9","+16"
"125","Cam Schlittler",NYY,"SP35","118","262","128.1","6.5","+14"
"126","Luis Robert Jr.",NYM,"OF27","92","153","129.9","14.2","+7"
"127","Raisel Iglesias",ATL,"RP10","76","179","130.4","26.9","-19"
"128","Nathan Eovaldi",TEX,"SP36","91","165","131.6","18.7","+19"
"129","Lawrence Butler",ATH,"OF28","115","150","132.4","6.6","+7"
"130","Brandon Nimmo",TEX,"OF29","106","157","133.1","17.5","-10"
"131","Ozzie Albies",ATL,"2B9","116","154","133.1","12.1","-3"
"132","Nick Lodolo",CIN,"SP37","123","200","136.6","7.1","+11"
"133","Jakob Marsee",MIA,"OF30","95","164","136.7","11.5","+1"
"134","Zack Wheeler",PHI,"SP38","91","211","137.4","27.9","-16"
"135","Luis Castillo",SEA,"SP39","102","175","139.6","26.2","+10"
"136","Michael King",SD,"SP40","116","162","139.7","9.9","+6"
"137","Sandy Alcantara",MIA,"SP41","100","285","140.2","30.0","+19"
"138","Taylor Ward",BAL,"OF31","104","251","140.4","19.4","-14"
"139","Ryan Helsley",BAL,"RP11","77","272","142.0","40.8","-13"
"140","Gavin Williams",CLE,"SP42","126","242","142.6","11.6","+13"
"141","Jacob Wilson",ATH,"SS15","98","181","143.4","21.8","+22"
"142","Bubba Chandler",PIT,"SP43","111","367","144.0","6.6","+27"
"143","Emmet Sheehan",LAD,"SP44","90","231","145.6","15.7","+17"
"144","Robbie Ray",SF,"SP45","96","283","145.6","26.4","+17"
"145","Ryan Pepiot",TB,"SP46","100","202","145.8","17.9","+5"
"146","Ceddanne Rafaela",BOS,"OF32","125","190","146.6","14.6","+19"
"147","Dansby Swanson",CHC,"SS16","92","190","146.6","11.1","+4"
"148","Carlos Estevez",KC,"RP12","83","199","146.9","21.0","-33"
"149","Matt Chapman",SF,"3B7","122","202","147.4","23.8","-12"
"150","Trevor Rogers",BAL,"SP47","104","275","150.3","22.1","+12"
"151","Willson Contreras",BOS,"1B14","101","211","151.7","27.5","+42"
"152","Steven Kwan",CLE,"OF33","125","202","154.4","16.0","+2"
"153","Jeff Hoffman",TOR,"RP13","105","207","154.9","29.6","-15"
"154","Ranger Suarez",BOS,"SP48","114","193","155.8","11.6","+20"
"155","Yainer Diaz",HOU,"C9","98","206","156.1","26.3","+2"
"156","Jurickson Profar",ATL,"OF34","126","215","160.9","11.4","+16"
"157","Xavier Edwards",MIA,"SS17","136","231","161.0","16.6","+26"
"158","Ian Happ",CHC,"OF35","129","248","162.4","26.5","-3"
"159","Noelvi Marte",CIN,"3B8","119","237","162.6","19.2","-10"
"160","Brandon Lowe",PIT,"2B10","119","246","164.7","13.8","+6"
"161","MacKenzie Gore",TEX,"SP49","132","208","165.1","21.3","+6"
"162","Pete Fairbanks",MIA,"RP14","109","204","165.2","24.3","-16"
"163","Tanner Bibee",CLE,"SP50","139","195","167.1","17.7","+8"
"164","Emilio Pagan",CIN,"RP15","110","237","167.4","31.4","-20"
"165","Shota Imanaga",CHC,"SP51","106","214","167.6","11.5","+15"
"166","Ivan Herrera",STL,"C10","114","226","167.6","13.0","-8"
"167","Drew Rasmussen",TB,"SP52","129","209","167.6","13.4","+6"
"168","Jonathan Aranda",TB,"1B15","127","213","169.2","14.5","+33"
"169","Bryan Reynolds",PIT,"OF36","138","253","170.6","17.7","+8"
"170","Brenton Doyle",COL,"OF37","124","245","171.3","22.8","+16"
"171","Adley Rutschman",BAL,"C11","143","274","171.4","13.9","-12"
"172","Spencer Torkelson",DET,"1B16","134","211","173.0","12.3","+12"
"173","Trevor Megill",MIL,"RP16","117","205","173.2","20.7","-42"
"174","Chandler Simpson",TB,"OF38","129","213","175.2","19.1","-6"
"175","Dylan Crews",WSH,"OF39","150","204","176.0","12.4","+14"
"176","Daniel Palencia",CHC,"RP17","97","242","176.6","30.3","-28"
"177","Edward Cabrera",CHC,"SP53","139","249","177.0","12.7","+30"
"178","Kenley Jansen",DET,"RP18","109","219","177.6","29.7","-26"
"179","Jackson Holliday",BAL,"2B11","127","275","178.4","39.6","-44"
"180","Carlos Rodon",NYY,"SP54","150","219","178.7","12.7","+17"
"181","Cade Horton",CHC,"SP55","110","256","179.2","14.7","+14"
"182","Christian Walker",HOU,"1B17","149","243","181.4","27.0","-3"
"183","Shane Bieber",TOR,"SP56","109","292","182.1","41.6","-19"
"184","Isaac Paredes",HOU,"3B9","99","288","185.7","19.1","-14"
"185","Alec Burleson",STL,"OF40","126","278","187.6","34.5","-3"
"186","Colson Montgomery",CWS,"SS18","155","250","188.0","22.4","-5"
"187","Jack Flaherty",DET,"SP57","161","267","188.9","25.4","+30"
"188","Royce Lewis",MIN,"3B10","165","259","190.3","14.7","+15"
"189","Mike Trout",LAA,"OF41","148","256","191.1","18.5","-14"
"190","Ezequiel Tovar",COL,"SS19","90","279","192.8","37.4","+38"
"191","Tatsuya Imai",HOU,"SP58","141","421","194.4","34.8","-15"
"192","Alejandro Kirk",TOR,"C12","160","302","194.6","18.0","-4"
"193","Marcus Semien",NYM,"2B12","163","253","195.6","16.9","-15"
"194","Shane Baz",BAL,"SP59","156","255","197.4","23.0","+29"
"195","Andrew Abbott",CIN,"SP60","147","267","198.3","24.0","-5"
"196","Matthew Boyd",CHC,"SP61","163","250","198.6","21.1","-2"
"197","Aaron Nola",PHI,"SP62","173","260","199.6","15.6","+8"
"198","Heliot Ramos",SF,"OF42","135","283","199.7","15.8","+20"
"199","Shane McClanahan",TB,"SP63","142","251","203.6","18.1","+40"
"200","Jorge Polanco",NYM,"2B13","128","272","204.3","29.7","+15"
"201","Merrill Kelly",ARI,"SP64","181","252","204.9","14.5","+19"
"202","Bryson Stott",PHI,"2B14","121","282","205.6","30.1","-17"
"203","Kyle Manzardo",CLE,"1B18","176","244","208.7","16.9","+47"
"204","Daylen Lile",WSH,"OF43","179","250","209.9","14.3","+26"
"205","Dennis Santana",PIT,"RP19","153","274","210.7","26.3","-14"
"206","Ryan Walker",SF,"RP20","131","291","211.1","35.8","-6"
"207","Luis Garcia",WSH,"2B15","122","252","211.2","20.0","+24"
"208","Kerry Carpenter",DET,"OF44","158","231","211.3","14.1","+18"
"209","Daulton Varsho",TOR,"OF45","161","247","211.4","18.9","0"
"210","Kris Bubic",KC,"SP65","144","248","213.9","24.1","-6"
"211","Wilyer Abreu",BOS,"OF46","178","281","215.4","14.1","+21"
"212","Zac Gallen",FA,"SP66","156","365","215.6","32.6","+21"
"213","Addison Barger",TOR,"3B11","165","308","216.3","20.8","-15"
"214","Gabriel Moreno",ARI,"C13","168","289","217.6","25.5","-3"
"215","Gleyber Torres",DET,"2B16","122","267","218.4","25.8","+6"
"216","Matt McLain",CIN,"2B17","160","264","219.2","22.0","+13"
"217","Sal Stewart",CIN,"1B19","177","254","219.6","21.7","+7"
"218","Munetaka Murakami",CWS,"1B20","182","251","219.9","21.0","-19"
"219","Samuel Basallo",BAL,"C14","158","286","221.1","34.2","-7"
"220","Connelly Early",BOS,"SP67","169","451","221.6","15.8","+27"
"221","Sal Frelick",MIL,"OF47","203","257","222.2","15.3","-19"
"222","Kyle Teel",CWS,"C15","166","288","223.7","23.2","-12"
"223","Ramon Laureano",SD,"OF48","183","267","226.1","22.6","+17"
"224","Francisco Alvarez",NYM,"C16","165","285","227.0","29.2","+3"
"225","Abner Uribe",MIL,"RP21","148","293","227.8","30.5","-33"
"226","Otto Lopez",MIA,"2B18","164","265","228.8","23.9","+19"
"227","Xander Bogaerts",SD,"SS20","138","280","230.1","20.9","+9"
"228","Masyn Winn",STL,"SS21","151","295","231.3","42.5","+51"
"229","Bryce Miller",SEA,"SP68","195","287","233.6","24.4","+23"
"230","Hurston Waldrep",ATL,"SP69","134","630","234.2","28.1","+53"
"231","Andrew Vaughn",MIL,"1B21","166","282","234.4","14.4","+58"
"232","Roki Sasaki",LAD,"SP70","194","426","235.8","32.9","-19"
"233","Adolis Garcia",PHI,"OF49","159","262","236.2","10.9","+2"
"234","Jac Caglianone",KC,"1B22","149","268","236.6","23.4","+22"
"235","Kazuma Okamoto",TOR,"3B12","153","297","237.0","33.0","-39"
"236","Spencer Schwellenbach",ATL,"SP71","63","438","168.6","125.9","-148"
"237","Alec Bohm",PHI,"3B13","176","296","238.9","23.1","+11"
"238","Trent Grisham",NYY,"OF50","210","282","239.7","15.9","-16"
"239","Jordan Beck",COL,"OF51","209","287","241.4","18.3","+62"
"240","Brendan Donovan",SEA,"2B19","167","288","243.6","30.4","+13"
"241","Joe Musgrove",SD,"SP72","173","390","245.6","48.5","+5"
"242","Konnor Griffin",PIT,"SS22","160","307","246.4","32.2","-8"
"243","Noah Cameron",KC,"SP73","196","383","248.8","18.3","0"
"244","Luis Arraez",SF,"2B20","131","377","251.4","50.6","+18"
"245","TJ Friedl",CIN,"OF52","199","300","251.7","19.1","+18"
"246","Carlos Correa",HOU,"SS23","217","277","253.2","19.4","+9"
"247","Spencer Steer",CIN,"1B23","216","366","254.6","23.0","-10"
"248","Josh Lowe",LAA,"OF53","230","294","255.3","12.7","+77"
"249","Shane Smith",CWS,"SP74","173","292","256.2","18.5","+61"
"250","Jose Caballero",NYY,"2B21","176","354","256.8","42.0","-25"
"251","Mark Vientos",NYM,"3B14","181","369","258.1","39.8","+27"
"252","Ryne Nelson",ARI,"SP,RP2","208","350","259.1","34.0","+13"
"253","Max Muncy",LAD,"3B15","173","287","259.6","20.6","-47"
"254","Mickey Moniak",COL,"OF54","166","310","261.2","19.1","+38"
"255","JJ Wetherholt",STL,"SS24","174","309","261.8","36.6","+4"
"256","Griffin Jax",TB,"RP22","170","298","263.2","30.1","+13"
"257","Carter Jensen",KC,"C17","165","339","263.4","37.0","-19"
"258","Gerrit Cole",NYY,"SP75","201","297","263.4","23.6","-50"
"259","J.T. Realmuto",PHI,"C18","201","355","263.9","43.4","-40"
"260","Quinn Priester",MIL,"SP,RP3","197","323","267.3","25.3","-6"
"261","Jake Burger",TEX,"1B24","196","316","267.8","24.9","+14"
"262","Marcell Ozuna",PIT,"DH3","253","374","269.3","9.4","+19"
"263","Nolan Schanuel",LAA,"1B25","214","356","269.6","39.1","+39"
"264","Caleb Durbin",BOS,"2B22","197","300","269.7","18.8","0"
"265","Colton Cowser",BAL,"OF55","210","296","270.4","20.1","-16"
"266","Casey Mize",DET,"SP76","187","285","247.1","25.8","-6"
"267","Jasson Dominguez",NYY,"OF56","144","522","247.3","93.5","-25"
"268","Dillon Dingler",DET,"C19","216","376","276.1","37.7","-17"
"269","Brett Baty",NYM,"3B16","220","337","277.9","29.2","+29"
"270","Parker Messick",CLE,"SP77","221","371","281.9","38.4","+38"
"271","Edwin Uceta",TB,"RP23","219","405","283.6","47.1","-13"
"272","Grayson Rodriguez",LAA,"SP78","183","437","284.8","52.8","+12"
"273","Matt Shaw",CHC,"3B17","166","734","306.6","142.2","0"
"274","Jack Leiter",TEX,"SP79","236","326","264.3","24.5","-3"
"275","Kodai Senga",NYM,"SP80","204","310","271.3","22.9","+19"
"276","Sean Manaea",NYM,"SP,RP4","249","325","275.2","21.4","+28"
"277","Ryan Weathers",NYY,"SP81","218","318","278.1","27.1","+16"
"278","Robert Suarez",ATL,"RP24","201","293","248.8","26.9","-91"
"279","Logan Henderson",MIL,"SP82","191","309","279.1","24.0","+41"
"280","Jung Hoo Lee",SF,"OF57","232","313","280.6","21.1","-23"
"281","Tommy Edman",LAD,"2B23","264","390","295.8","33.7","-4"
"282","Kevin McGonigle",DET,"SS25","185","440","298.2","55.2","+36"
"283","Giancarlo Stanton",NYY,"RF1","206","315","273.0","28.3","-69"
"284","Joey Cantillo",CLE,"SP,RP5","202","320","277.1","31.7","+32"
"285","Anthony Santander",TOR,"OF58","181","454","248.9","78.7","-69"
"286","Jose Soriano",LAA,"SP83","193","341","255.9","44.6","+29"
"287","Justin Crawford",PHI,"OF59","201","374","289.8","48.3","+34"
"288","Miguel Vargas",CWS,"3B18","223","358","296.8","30.9","-21"
"289","Bryan Abreu",HOU,"RP25","182","322","270.3","39.9","-7"
"290","Chase DeLauter",CLE,"OF60","234","358","301.3","27.2","-18"
"291","Seranthony Dominguez",CWS,"RP26","221","330","270.6","37.1","-5"
"292","David Peterson",NYM,"SP84","191","434","274.4","73.9","+42"
"293","Clay Holmes",NYM,"SP85","197","329","285.9","26.0","+6"
"294","Andres Gimenez",TOR,"2B24","208","327","295.5","23.5","-4"
"295","Brady Singer",CIN,"SP86","258","335","300.3","26.5","+8"
"296","Cedric Mullins II",TB,"OF61","248","324","300.9","22.9","+66"
"297","Ryan O'Hearn",PIT,"1B26","237","343","302.0","28.3","-23"
"298","Josh Bell",MIN,"1B27","245","379","306.1","34.0","+89"
"299","Lenyn Sosa",CWS,"2B25","264","406","307.6","40.9","+39"
"300","Reid Detmers",LAA,"RP27","269","352","308.0","24.8","+50"
"301","Jameson Taillon",CHC,"SP87","250","330","312.3","12.5","-1"
"302","Will Warren",NYY,"SP88","207","437","317.8","48.5","+22"
"303","Michael Wacha",KC,"SP89","224","458","319.0","66.5","+25"
"304","Brandon Pfaadt",ARI,"SP90","216","354","288.1","49.2","+31"
"305","Yusei Kikuchi",LAA,"SP91","200","376","293.0","57.0","+17"
"306","Colt Keith",DET,"2B26","253","327","293.7","25.3","-40"
"307","Mitch Keller",PIT,"SP92","210","381","295.1","58.8","+7"
"308","Brayan Bello",BOS,"SP93","181","411","300.9","47.8","-13"
"309","Bryce Eldridge",SF,"1B28","203","518","334.1","89.3","+43"
"310","Austin Wells",NYY,"C20","229","294","265.5","17.0","-69"
"311","Zach Eflin",BAL,"SP94","262","438","336.9","57.6","+72"
"312","Riley O'Brien",STL,"RP28","272","342","310.7","24.3","-3"
"313","Evan Carter",TEX,"OF62","264","363","311.6","29.6","+35"
"314","Zebby Matthews",MIN,"SP95","260","361","314.1","33.4","+25"
"315","Nick Castellanos",FA,"OF63","257","632","354.6","111.5","+17"
"316","Jeff McNeil",ATH,"2B27","253","382","317.1","43.1","+40"
"317","Logan O'Hoppe",LAA,"C21","243","321","285.7","23.2","-56"
"318","Anthony Volpe",NYY,"SS26","278","408","327.4","44.1","-31"
"319","Braxton Ashcraft",PIT,"SP,RP6","247","346","295.2","35.2","+22"
"320","Robert Garcia",TEX,"RP29","243","360","295.3","48.6","-14"
"321","Cody Ponce",TOR,"SP,RP7","247","342","299.2","22.6","-14"
"322","Tyler Stephenson",CIN,"C22","275","348","310.8","27.9","-46"
"323","Matt Wallner",MIN,"OF64","248","382","313.3","41.0","+63"
"324","Bailey Ober",MIN,"SP96","280","360","313.5","29.4","-36"
"325","Brooks Lee",MIN,"SS27","278","337","318.0","15.3","+28"
"326","Ian Seymour",TB,"SP,RP8","277","385","318.5","36.1","-41"
"327","Josh Jung",TEX,"3B19","267","365","320.8","32.0","-4"
"328","Jake Cronenworth",SD,"2B28","265","448","328.0","64.7","+21"
"329","J.P. Crawford",SEA,"SS28","286","414","328.8","44.9","-12"
"330","Grant Taylor",CWS,"RP30","220","419","331.0","45.1","+24"
"331","Cade Cavalli",WSH,"SP97","223","502","331.0","85.1","+124"
"332","Dylan Beavers",BAL,"OF65","296","404","332.3","38.1","+23"
"333","Reynaldo Lopez",ATL,"SP98","227","376","333.7","22.4","+70"
"334","Spencer Horwitz",PIT,"1B29","283","382","336.3","25.6","+55"
"335","Harrison Bader",SF,"OF66","260","440","337.3","67.4","+36"
"336","Cam Smith",HOU,"RF2","221","487","339.7","71.8","+37"
"337","Chase Meidroth",CWS,"3B20","301","388","340.2","33.3","+63"
"338","Kirby Yates",LAA,"RP31","269","391","340.3","38.3","-25"
"339","Ernie Clement",TOR,"3B21","235","322","300.8","13.2","-95"
"340","Will Vest",DET,"RP32","266","323","300.8","16.5","-43"
"341","Mike Burrows",HOU,"SP,RP9","260","379","343.3","37.6","-14"
"342","Jonah Tong",NYM,"SP99","242","551","344.2","97.0","+17"
"343","Ryan Jeffers",MIN,"C23","212","340","303.8","21.0","-75"
"344","Brandon Marsh",PHI,"OF67","258","427","345.7","50.8","+36"
"345","Dominic Canzone",SEA,"OF68","290","441","375.3","54.8","+30"
"346","Tanner Scott",LAD,"RP33","290","334","314.6","14.9","+5"
"347","Tyler Mahle",SF,"SP100","201","365","316.6","29.0","+21"
"348","Seth Lugo",KC,"SP101","311","438","356.7","39.3","-36"
"349","Lars Nootbaar",STL,"OF69","274","496","360.3","68.8","+64"
"350","Chris Bassitt",BAL,"SP102","233","466","363.3","81.5","-14"
"351","Owen Caissie",MIA,"OF70","228","518","363.5","75.4","+40"
"352","Jordan Walker",STL,"OF71","270","362","330.6","34.3","+38"
"353","Robby Snelling",MIA,"SP103","282","506","368.3","75.4","+12"
"354","Isaac Collins",KC,"LF1","225","465","334.6","77.8","+52"
"355","Luis Severino",ATH,"SP104","267","577","376.3","99.7","+52"
"356","Marcelo Mayer",BOS,"2B29","250","415","337.2","52.3","-86"
"357","Jake Mangum",PIT,"OF72","215","504","374.7","65.3","+12"
"358","Justin Steele",CHC,"SP105","239","396","345.0","29.4","-18"
"359","Carson Benge",NYM,"OF73","255","482","379.0","65.5","-14"
"360","Clayton Beeter",WSH,"RP34","292","395","347.2","38.9","+64"
"361","Jose Berrios",TOR,"SP106","312","501","381.8","67.9","+60"
"362","Troy Melton",DET,"SP,RP10","268","478","349.6","72.5","-31"
"363","Connor Norby",MIA,"3B22","306","388","350.2","33.8","+52"
"364","Jacob Lopez",ATH,"SP107","259","383","351.6","21.1","+40"
"365","Victor Scott",STL,"OF74","300","391","352.0","34.0","-28"
"366","Andrew Painter",PHI,"SP108","284","987","458.5","240.5","-37"
"367","Luis Morales",ATH,"SP109","272","639","400.7","113.4","+56"
"368","Jordan Lawlar",ARI,"3B23","264","1267","509.2","340.3","+13"
"369","Edgar Quero",CWS,"C24","272","369","357.6","10.8","+28"
"370","Jesus Sanchez",TOR,"OF75","295","396","358.2","35.9","+28"
"371","Carson Kelly",CHC,"C25","270","418","359.2","49.2","-66"
"372","Austin Hays",CWS,"OF76","266","430","359.8","60.0","+60"
"373","Jeremiah Estrada",SD,"RP35","264","452","360.2","63.1","-82"
"374","Kyle Finnegan",DET,"RP36","285","400","360.8","35.8","-31"
"375","JoJo Romero",STL,"RP37","286","410","362.6","38.7","+39"
"376","Nolan Arenado",ARI,"3B24","230","425","364.0","69.6","-80"
"377","Bo Naylor",CLE,"C26","294","423","365.6","42.8","-5"
"378","Robert Stephenson",LAA,"RP38","272","407","366.0","30.6","+107"
"379","Chad Patrick",MIL,"SP110","223","445","367.6","45.0","-12"
"380","Eduardo Rodriguez",ARI,"SP111","307","584","409.0","104.5","+147"
